ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter
582,3.703,622,2583,349.4213536977768
583,1.7195,4953,2576,241.09545266628265
584,71.481,993,2687,1481.283392548561
585,0.269,3380,2554,69.4558435678482
586,0.006,1323,2532,10.0
587,0.676,812,2545,99.94112491607666
588,2.8945,727,2541,297.7228692770004
589,0.006,5659,2511,10.0
590,0.043,4896,2495,25.656854152679443
591,0.004,751,2491,8.0
592,78.3745,145,2649,1704.0701895952225
593,0.14,5656,2494,59.3137081861496
594,0.072,3838,2481,46.485281229019165
595,0.023,964,2477,18.82842707633972
596,0.021,1391,2474,18.82842707633972
597,0.0995,3835,2471,62.870057225227356
598,0.04,1355,2466,32.485281229019165
599,0.006,1345,2464,10.0
600,68.465,4738,2596,1306.6559768915176
601,3.2455,1315,2487,388.3502860069275
602,0.004,3931,2446,8.0
603,0.004,3904,2446,8.0
604,0.006,3973,2445,10.0
605,0.009,3952,2442,12.0
606,0.046,3983,2441,25.656854152679443
607,0.01,3959,2440,20.82842707633972
608,0.014,3928,2440,13.656854152679443
609,0.084,1294,2443,41.31370830535889
610,0.014,3949,2437,13.656854152679443
611,0.004,1039,2434,8.0
612,0.948,4907,2463,149.25483298301697
613,1.4305,1049,2458,262.2670257091522
614,0.018,4901,2419,15.656854152679443
615,0.942,4961,2438,177.05382251739502
616,0.004,1402,2389,8.0
617,0.004,4177,2386,8.0
618,13.841,1224,2459,562.0731542110443
619,0.095,3778,2373,42.14213538169861
620,46.003,3639,2495,1086.0041739940643
621,0.1985,4442,2373,56.870057225227356
622,0.014,4168,2362,13.656854152679443
623,0.0105,4464,2350,13.41421353816986
624,0.031,1213,2349,27.313708305358887
625,0.4415,1237,2347,111.01219248771667
626,0.247,2405,2335,63.11269795894623
627,21.874,881,2400,662.984842300415
628,0.006,4921,2314,10.0
629,0.055,864,2287,28.485281229019165
630,104.544,5182,2454,1669.9940701723099
631,0.02,4212,2278,17.656854152679443
632,0.0335,757,2264,30.242640614509583
633,42.814,4608,2363,1473.6265388727188
634,0.038,3557,2240,23.656854152679443
635,0.1105,1600,2242,45.55634880065918
636,0.009,5257,2229,12.0
637,0.006,5081,2224,10.0
638,0.016,1642,2220,16.82842707633972
639,0.004,4744,2218,8.0
640,0.015,1372,2219,16.0
641,0.1665,629,2220,59.55634880065918
642,0.006,1573,2212,10.0
643,2.3065,2244,2230,217.7817440032959
644,0.004,484,2206,8.0
645,0.006,4228,2205,10.0
646,0.171,1359,2201,66.14213538169861
647,4.698,895,2229,323.0782072544098
648,0.004,892,2194,8.0
649,0.152,500,2199,48.62741661071777
650,0.008,575,2191,12.0
651,1.377,4598,2215,174.22539579868317
652,0.0215,874,2188,21.41421353816986
653,0.004,4609,2182,8.0
654,0.018,5238,2182,15.656854152679443
655,0.0775,1977,2181,44.72792184352875
656,0.581,1671,2189,94.76955187320709
657,403.3505,1853,2468,6440.052399396896
658,10.3435,1506,2241,1060.0802958011627
659,0.246,488,2169,63.79898953437805
660,1.6285,402,2176,170.1248904466629
661,2.757,908,2161,286.5096663236618
662,0.035,2507,2127,24.485281229019165
663,0.027,5080,2126,21.656854152679443
664,0.006,907,2115,10.0
665,0.01,2609,2115,20.82842707633972
666,0.0085,2605,2110,11.41421353816986
667,0.071,2597,2110,41.31370830535889
668,0.0505,1123,2107,29.899494767189026
669,0.004,922,2101,8.0
670,40.482,1153,2235,1133.4600179195404
671,0.4965,2394,2106,102.18376553058624
672,0.006,1272,2080,10.0
673,0.089,612,2080,42.14213538169861
674,0.0225,1274,2074,18.242640614509583
675,0.004,5437,2071,8.0
676,4.8965,1811,2121,323.66399455070496
677,13.5515,1420,2122,569.203097820282
678,0.006,4206,2062,10.0
679,0.2205,5225,2066,59.21320307254791
680,0.0155,4215,2058,15.41421353816986
681,0.028,1477,2053,22.82842707633972
682,0.0415,2405,2054,30.242640614509583
683,20.6425,5300,2157,888.7665860652924
684,107.1485,5545,2318,2412.4864888191223
685,1.2205,1294,2049,186.61017107963562
686,0.014,2677,2026,18.0
687,0.053,1289,2022,29.656854152679443
688,21.6315,653,2135,1069.1929923295975
689,22.441,1636,2095,684.8427062034607
690,0.503,1233,2017,90.7695517539978
